hospital_id,hospital_name,id,name,english
1,红房子医院(黄浦院区),1,麻醉科,Anesthesiology
1,红房子医院(黄浦院区),2,男子不育门诊,Male Infertility clinic
1,红房子医院(黄浦院区),3,特需疑难门诊,Special Needs Clinic difficult
1,红房子医院(黄浦院区),4,新生儿科,Neonatology
1,红房子医院(黄浦院区),5,计划生育科,Family Planning Branch
1,红房子医院(黄浦院区),6,妇科研究所,Gynecological Institute
1,红房子医院(黄浦院区),7,专家门诊,Expert patient
1,红房子医院(黄浦院区),8,妇产科,Obstetrics and Gynecology
1,红房子医院(黄浦院区),9,乳腺外科,Breast Surgery
1,红房子医院(黄浦院区),10,产前诊断中心,Prenatal Diagnosis Center
1,红房子医院(黄浦院区),4329,妇产科-妇科,Obstetrics - Gynecology
1,红房子医院(黄浦院区),4330,妇产科-产科,Obstetrics and Gynecology - Obstetrics
2,红房子医院(杨浦院区),3294,乳腺外科,Breast Surgery
2,红房子医院(杨浦院区),3295,产科,Obstetrics
2,红房子医院(杨浦院区),3296,妇科,Department of gynecology
2,红房子医院(杨浦院区),3297,麻醉科,Anesthesiology
2,红房子医院(杨浦院区),3298,骨研所,Bone Institute
2,红房子医院(杨浦院区),3299,计划生育科,Family Planning Branch
3,中国福利会国际和平妇幼保健院,11,麻醉科,Anesthesiology
3,中国福利会国际和平妇幼保健院,12,妇科,Department of gynecology
3,中国福利会国际和平妇幼保健院,13,普通外科,Normal Surgery
3,中国福利会国际和平妇幼保健院,14,计划生育科,Family Planning Branch
3,中国福利会国际和平妇幼保健院,15,新生儿科,Neonatology
3,中国福利会国际和平妇幼保健院,16,男科,Andrology
3,中国福利会国际和平妇幼保健院,17,儿童保健科,Child Health Division
3,中国福利会国际和平妇幼保健院,18,普通内科,Normal internal medicine
3,中国福利会国际和平妇幼保健院,19,产科,Obstetrics
3,中国福利会国际和平妇幼保健院,20,遗传诊断中心,Genetic Diagnosis Center
3,中国福利会国际和平妇幼保健院,21,生殖医学中心,Center for Reproductive Medicine
3,中国福利会国际和平妇幼保健院,22,乳腺科,Breast Surgery
3,中国福利会国际和平妇幼保健院,23,指导所,The guide
3,中国福利会国际和平妇幼保健院,24,口腔科,Dentistry
3,中国福利会国际和平妇幼保健院,25,营养科,Nutrition
3,中国福利会国际和平妇幼保健院,1193,妇科-专家门诊,Gynecology - expert patient
3,中国福利会国际和平妇幼保健院,1194,妇科-宫颈科,Gynecology - Cervical Branch
3,中国福利会国际和平妇幼保健院,1195,妇科-10楼,Gynecological -10 F
3,中国福利会国际和平妇幼保健院,2920,计划生育科-专家门诊,Family Planning Bureau - expert patient
3,中国福利会国际和平妇幼保健院,2921,计划生育科-5病区,Family Planning Branch -5 Ward
3,中国福利会国际和平妇幼保健院,2939,产科-VIP病房,Obstetrics - VIP section
4,上海市精神卫生中心分部,1096,精神科,Psychiatric
4,上海市精神卫生中心分部,1097,康复病区,Rehabilitation ward
4,上海市精神卫生中心分部,1098,女科治疗病房,Gynecology and obstetrics treatment room
4,上海市精神卫生中心分部,1099,肺结核病区,Tuberculosis Ward
4,上海市精神卫生中心分部,1100,康复1科,Rehabilitation Division 1
4,上海市精神卫生中心分部,1101,1上病房,1st Ward
4,上海市精神卫生中心分部,1102,心理门诊,Psychological clinic
4,上海市精神卫生中心分部,1103,11病房,Ward 11 area
4,上海市精神卫生中心分部,1104,12病房,Ward 12
4,上海市精神卫生中心分部,1105,4上病房,Ward 4 Upper
4,上海市精神卫生中心分部,1106,2下病房,Ward 2 Lower
4,上海市精神卫生中心分部,1107,男科治疗病房,Andrology treatment ward
4,上海市精神卫生中心分部,1108,综合治疗科,Comprehensive treatment Branch
4,上海市精神卫生中心分部,1109,普通精神科治疗病房,General psychiatric treatment ward
4,上海市精神卫生中心分部,1110,10病房,Ward 10
4,上海市精神卫生中心分部,1111,4下病房,Ward 4 Lower
4,上海市精神卫生中心分部,1112,传染科肝炎病区,Epidemiology of hepatitis
4,上海市精神卫生中心分部,1113,戒毒病房,Rehabilitation ward
4,上海市精神卫生中心分部,3514,精神科-7科,Psychiatric -7 Branch
4,上海市精神卫生中心分部,3515,精神科-8科,-8 Psychiatry Branch
4,上海市精神卫生中心分部,3516,精神科-9科,Psychiatry Branch -9
5,上海市精神卫生中心,26,麻醉科,Anesthesiology
5,上海市精神卫生中心,27,精神科,Psychiatric
5,上海市精神卫生中心,28,生化研究室,Biochemical Research
5,上海市精神卫生中心,29,心理咨询科,Counseling Division
5,上海市精神卫生中心,30,儿少病房,Children less ward
5,上海市精神卫生中心,31,急重症病房,Emergency ICU
5,上海市精神卫生中心,32,心境障碍病房,Mood disorders ward
5,上海市精神卫生中心,33,综合治疗科,Comprehensive treatment Branch
5,上海市精神卫生中心,34,早期干预病房,Early intervention ward
5,上海市精神卫生中心,35,儿少心理咨询,Children less Counseling
5,上海市精神卫生中心,36,司法鉴定,Forensic
5,上海市精神卫生中心,37,肝病科,Liver Diseases Branch
5,上海市精神卫生中心,38,心身科病房,Psychosomatic ward
5,上海市精神卫生中心,39,心理咨询楼,Counseling floor
5,上海市精神卫生中心,40,康复病区,Rehabilitation ward
5,上海市精神卫生中心,1196,精神科-8病区,-8 Psychiatric ward
5,上海市精神卫生中心,1197,精神科-8科,-8 Psychiatry Branch
6,上海胸科医院,41,急诊科,Emergency Department
6,上海胸科医院,42,麻醉科,Anesthesiology
6,上海胸科医院,43,科教科,Science and Education Division
6,上海胸科医院,44,重症监护,Intensive Care
6,上海胸科医院,45,临床中心,Clinical Center
6,上海胸科医院,46,肺内科,Pulmonary Medicine
6,上海胸科医院,47,胸外科,Thoracic Surgery
6,上海胸科医院,48,心内科,Cardiology
6,上海胸科医院,49,特需门诊,Special needs patient
6,上海胸科医院,50,心外科,Cardiac Surgery
6,上海胸科医院,51,小儿外科,Pediatric Surgery
6,上海胸科医院,52,心电图室,ECG room
6,上海胸科医院,53,营养科,Nutrition
6,上海胸科医院,54,肿瘤外科,Surgical Oncology
6,上海胸科医院,55,儿科,Pediatrics
6,上海胸科医院,56,呼吸科,Respiratory Diseases
6,上海胸科医院,57,普外科,General Surgery
6,上海胸科医院,58,肿瘤科,Oncology
6,上海胸科医院,59,肺功能室,Pulmonary function room
6,上海胸科医院,1198,临床中心-4A,Clinical Center -4A
6,上海胸科医院,1199,临床中心-4B,Clinical Center -4B
6,上海胸科医院,1200,肺内科-十二病区,Pulmonary medicine - twelve wards
6,上海胸科医院,1201,肺内科-十三病区,Pulmonary medicine - thirteen wards
6,上海胸科医院,1202,肺内科-十一病区,Pulmonary medicine - eleven wards
6,上海胸科医院,1203,肺内科-3病区,Pulmonary medicine ward -3
6,上海胸科医院,1204,胸外科-9楼,-9 Floor Thoracic Surgery
6,上海胸科医院,1205,胸外科-10楼,-10 Floor Thoracic Surgery
6,上海胸科医院,1206,心内科-5病区,Cardiology Ward 5
6,上海胸科医院,1207,心内科-6病区,Cardiology Ward -6
